f_bus,t_bus,rate_a,sus
1,4,118.0,3999.5683334819128
1,120,250.0,7537.724574248552
1,177,118.0,71740.62704586326
1,179,219.0,5654.086233279583
1,186,317.0,87473.12846687408
2,387,175.0,492929.49351531506
3,183,418.0,19087.25288296496
3,184,381.0,24886.7535439065
4,1,118.0,3999.5683334819128
4,180,261.0,5033.57245556666
5,432,191.0,1514.056476161679
6,222,56.99999999999999,146784.0771993776
7,210,80.0,24384.665478495543
8,198,64.0,26665.86987703771
9,214,41.0,156998.33929907266
10,137,383.0,1378119.443263519
10,138,366.0,1000914.4875423317
11,239,56.99999999999999,121059.79697194365
11,240,64.0,835.8084162680549
12,341,64.0,15110.294373513012
13,176,64.0,433.6847423801083
14,343,41.0,4256.433372570989
15,98,154.0,1036.4226076953369
16,345,56.99999999999999,125594.17087332917
17,214,96.0,485.6335703566876
17,217,96.0,1294.26712861247
18,146,500.0,553049.5277345676
18,147,250.0,406526.3193533578
19,130,236.0,531466.8260265078
20,372,293.0,18987.95208727122
20,399,118.0,1258.6946633339624
21,308,64.0,124090.49978060991
21,326,64.0,841.1708053393526
22,270,64.0,77920.97824026713
23,404,128.0,1694457.117959304
24,246,64.0,40073.35055842029
24,250,64.0,2365.8269281287526
25,216,64.0,539.6457385093112
25,224,128.0,1643.6233254419785
26,346,64.0,116890.74613552123
27,260,64.0,63712.01501035122
28,247,80.0,7274.297670612317
29,243,64.0,349807.74960317556
30,368,366.0,3533748.315177027
31,240,64.0,52154.438241012685
32,263,96.0,101219.39504932081
33,347,64.0,3451.572587471571
34,275,141.0,36508.86126465009
35,104,64.0,7006.050152159906
35,254,64.0,195768.2543338448
36,218,24.0,23922.44545814192
37,289,64.0,106023.80362991687
38,188,30.0,678.3218222819063
39,332,80.0,1627.9700351159465
39,466,64.0,1985.7260500955556
40,299,141.0,220022.1719346711
40,300,154.0,2752.3309765705417
41,188,41.0,970.0302098357694
41,481,41.0,1017.3562167259888
42,297,96.0,1384.5159750775742
42,360,96.0,116223.07756801964
43,344,64.0,88637.32655229855
44,276,56.99999999999999,15167.350404532124
45,189,64.0,204070.9529561722
46,207,35.0,99400.62247334738
47,203,114.99999999999999,57806.10640097429
48,272,41.0,96043.46402674008
49,383,366.0,446385.0558351161
50,262,141.0,2633.838799353002
50,263,80.0,3435.8019636759054
50,280,64.0,2273.676370618261
51,198,41.0,785.8777509352699
51,199,64.0,230222.5409459816
51,200,64.0,617.5406338485675
52,327,56.99999999999999,59002.628668813806
52,329,56.99999999999999,78609.50326769524
53,200,64.0,171738.66599548262
54,296,64.0,85940.68545970244
54,377,64.0,894.8004385676535
55,83,141.0,3240.667537456929
55,326,141.0,4938.018159914015
56,191,64.0,10764.342335241909
57,331,114.99999999999999,209967.03985017835
57,466,96.0,1598.697161354961
58,334,30.0,12009.73317509022
59,284,64.0,3065.135177865691
60,349,141.0,476873.3931676935
61,303,80.0,8907.015855662085
61,305,64.0,83117.63622854718
62,193,41.0,786.5495157814727
62,195,41.0,774.804599757195
62,196,64.0,1100.2028347744936
63,283,64.0,9769.994653032232
63,345,35.0,1090.4236198493452
64,234,64.0,18837.1468536074
64,235,64.0,20803.223276332268
64,357,113.99999999999999,3545.5853404929117
65,169,635.0,418797.89898489194
65,170,417.0,618961.9922543543
66,235,64.0,1506.8329081170295
66,239,41.0,1396.4140136288618
67,237,64.0,1459.1463249328299
67,246,41.0,924.0955583568712
68,211,64.0,453.9048865653229
68,212,64.0,131231.62778897997
69,267,64.0,1487.5858821211925
69,271,41.0,1267.7632746363763
69,276,71.0,2050.815875220095
69,477,64.0,647.2154582081874
70,101,80.0,71726.2525164842
70,373,41.0,10546.794346917986
71,204,64.0,1794.956091237236
71,469,64.0,899.2641702066198
72,339,96.0,3861.732321334519
72,340,96.0,13126.208361947207
73,213,64.0,749.232784433879
73,343,64.0,344.108242332682
73,403,64.0,365.5950523211779
74,456,64.0,789.695152591866
74,464,64.0,1238.7434213408662
75,105,35.0,106454.06546167376
75,347,35.0,112334.92541915408
76,280,64.0,65463.60739464454
77,301,64.0,140254.28883802268
78,85,92.0,7760.229327939473
78,313,64.0,176084.4666043931
79,317,64.0,156609.70931939388
79,319,64.0,56983.095878190965
80,309,64.0,48725.26284359566
81,189,64.0,910.0993777174966
81,190,64.0,1338.2594414608063
82,307,64.0,356739.99108343414
83,55,141.0,3240.667537456929
83,306,64.0,815.0061895611888
83,328,308.0,13638.210208027638
84,259,24.0,14900.136538853456
85,78,92.0,7760.229327939473
86,309,64.0,1984.0898459234209
86,322,64.0,44680.9562487055
86,323,64.0,37155.720610652796
87,176,114.99999999999999,295.9769050899183
87,213,114.99999999999999,1576.190509622354
88,233,24.0,888.0974536805171
89,135,366.0,2030021.470483203
89,136,366.0,1891063.6404951157
90,178,118.0,5218.51281366598
91,171,635.0,1992821.6580210973
91,172,366.0,1403735.6885099679
92,357,64.0,127434.28255556144
93,226,64.0,28969.838241536778
94,257,41.0,100834.542741797
94,258,41.0,142375.35006592365
95,285,35.0,49894.15458856546
96,345,64.0,2075.338671313825
97,209,35.0,6517.677427889982
98,15,154.0,1036.4226076953369
98,217,308.0,1609.5429356119669
98,381,30.0,2402.451708564707
99,219,64.0,143094.34141038312
99,223,64.0,1910.9394215174052
100,236,64.0,22330.23555867926
100,366,41.0,65405.8098282396
101,70,80.0,71726.2525164842
101,313,154.0,2941.0577490533165
101,325,308.0,258701.0263928196
102,364,35.0,216862.46216836493
103,262,114.99999999999999,4380.45603462121
104,35,64.0,7006.050152159906
105,75,35.0,106454.06546167376
106,330,64.0,177859.54715901194
