bus,2018-04-03 00:00:00-05:00,2018-04-03 01:00:00-05:00,2018-04-03 02:00:00-05:00,2018-04-03 03:00:00-05:00,2018-04-03 04:00:00-05:00,2018-04-03 05:00:00-05:00,2018-04-03 06:00:00-05:00,2018-04-03 07:00:00-05:00,2018-04-03 08:00:00-05:00,2018-04-03 09:00:00-05:00,2018-04-03 10:00:00-05:00,2018-04-03 11:00:00-05:00,2018-04-03 12:00:00-05:00,2018-04-03 13:00:00-05:00,2018-04-03 14:00:00-05:00,2018-04-03 15:00:00-05:00,2018-04-03 16:00:00-05:00,2018-04-03 17:00:00-05:00,2018-04-03 18:00:00-05:00,2018-04-03 19:00:00-05:00,2018-04-03 20:00:00-05:00,2018-04-03 21:00:00-05:00,2018-04-03 22:00:00-05:00,2018-04-03 23:00:00-05:00
1,13.9023,12.6367,12.2235,11.8919,11.9652,12.7863,14.5443,15.7435,15.8825,15.693,15.131,14.5946,14.2112,14.1127,13.8022,13.8173,14.0545,14.9574,15.9557,17.3401,18.7219,18.1437,16.8403,15.0084
2,6.2525,5.7466,5.5863,5.4577,5.491,5.8165,6.5157,7.0311,7.1371,7.1115,6.9284,6.7509,6.6117,6.5798,6.4675,6.4606,6.5245,6.8309,7.1595,7.6211,8.1172,7.8812,7.3652,6.6596
3,19.8443,17.6901,16.9597,16.3734,16.4764,17.8892,20.9008,22.7442,22.7041,22.1057,20.9204,19.8049,19.0743,18.8662,18.2722,18.3695,18.9425,20.7795,22.866,25.7272,28.3883,27.4309,25.1849,21.9199
4,15.9507,14.4529,13.9604,13.5651,13.6489,14.6226,16.7057,18.0989,18.2271,17.9665,17.2713,16.61,16.1459,16.0241,15.648,15.6753,15.9782,17.0862,18.3186,20.0233,21.6993,21.0185,19.4723,17.2851
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.3862,6.8101,6.6295,6.4846,6.524,6.8936,7.6884,8.2891,8.4291,8.4192,8.2267,8.0387,7.8857,7.8522,7.7289,7.716,7.777,8.1049,8.452,8.9423,9.4857,9.2151,8.6294,7.8362
7,27.5723,24.6522,23.667,22.8762,23.0196,24.9319,29.0106,31.5442,31.5387,30.7762,29.21,27.7337,26.7571,26.4823,25.6886,25.8079,26.5547,28.9917,31.7516,35.5407,39.0932,37.7908,34.7512,30.3516
8,10.2096,9.357,9.0846,8.8661,8.9203,9.47,10.6501,11.5017,11.6565,11.5898,11.2617,10.9452,10.704,10.6467,10.4519,10.4463,10.5687,11.1106,11.6976,12.5187,13.3813,12.9858,12.1138,10.9121
9,1.919,1.6919,1.6137,1.5509,1.5607,1.7104,2.0287,2.2141,2.1973,2.1218,1.9864,1.8596,1.7791,1.7553,1.6897,1.7032,1.7713,1.9786,2.2161,2.5406,2.8352,2.7355,2.4974,2.1466
10,9.4682,8.2808,7.8678,7.5363,7.5847,8.3692,10.0365,10.9764,10.8479,10.4119,9.6707,8.9779,8.5452,8.415,8.0624,8.1435,8.5245,9.6524,10.9515,12.7226,14.3083,13.7909,12.5424,10.6864
11,17.8416,16.5781,16.1937,15.8853,15.9811,16.785,18.52,19.9226,20.3484,20.4455,20.1215,19.7963,19.4943,19.4381,19.196,19.1369,19.1979,19.788,20.3828,21.2411,22.2999,21.6949,20.422,18.7456
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.267,1.1571,1.1216,1.0932,1.0999,1.1709,1.3233,1.4305,1.4469,1.4348,1.3896,1.3462,1.3141,1.3062,1.2802,1.2804,1.2984,1.3721,1.4527,1.565,1.6802,1.6296,1.5168,1.36
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3.0423,2.7078,2.5941,2.5029,2.5186,2.7382,3.206,3.4902,3.4812,3.3854,3.199,3.0238,2.9095,2.8768,2.7839,2.7997,2.8904,3.1787,3.5067,3.9561,4.3725,4.2241,3.8751,3.3666
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6.4398,5.9226,5.7591,5.628,5.6622,5.9948,6.7093,7.2387,7.3505,7.3278,7.1435,6.9646,6.8234,6.7912,6.6773,6.6693,6.7325,7.0419,7.373,7.8384,8.3417,8.1002,7.5729,6.8535
19,8.7693,7.9779,7.72,7.5131,7.5593,8.0725,9.1715,9.9253,10.0177,9.9047,9.5577,9.2263,8.9881,8.9273,8.7344,8.7425,8.8874,9.4461,10.0628,10.9185,11.7765,11.4144,10.5998,9.4572
20,15.9803,14.4732,13.9771,13.579,13.663,14.643,16.7392,18.1375,18.2614,17.9943,17.2907,16.6216,16.1533,16.03,15.6504,15.6792,15.987,17.1073,18.3542,20.0785,21.7703,21.0859,19.5297,17.3263
21,27.0383,24.9111,24.2427,23.7063,23.8504,25.2159,28.1522,30.358,30.8577,30.8044,30.0794,29.3728,28.8031,28.6766,28.2175,28.1743,28.41,29.6392,30.9449,32.7864,34.8118,33.8143,31.6498,28.7119
22,22.9059,20.8989,20.2497,19.7287,19.8498,21.1485,23.9321,25.8785,26.1611,25.9226,25.0827,24.2777,23.6871,23.5401,23.0624,23.0703,23.4083,24.7727,26.2688,28.3507,30.4726,29.5497,27.4887,24.6166
23,17.5878,16.2369,15.8153,15.477,15.571,16.4365,18.2991,19.7216,20.069,20.0653,19.6299,19.2032,18.8499,18.774,18.4896,18.4543,18.5855,19.3334,20.1203,21.2348,22.4873,21.8509,20.4793,18.6296
24,7.4417,6.787,6.575,6.4048,6.4442,6.868,7.7762,8.4096,8.4995,8.4195,8.1437,7.8794,7.6861,7.6378,7.4814,7.4846,7.5962,8.0438,8.535,9.2182,9.9129,9.6121,8.9395,8.0014
