bus,2018-08-12 00:00:00-05:00,2018-08-12 01:00:00-05:00,2018-08-12 02:00:00-05:00,2018-08-12 03:00:00-05:00,2018-08-12 04:00:00-05:00,2018-08-12 05:00:00-05:00,2018-08-12 06:00:00-05:00,2018-08-12 07:00:00-05:00,2018-08-12 08:00:00-05:00,2018-08-12 09:00:00-05:00,2018-08-12 10:00:00-05:00,2018-08-12 11:00:00-05:00,2018-08-12 12:00:00-05:00,2018-08-12 13:00:00-05:00,2018-08-12 14:00:00-05:00,2018-08-12 15:00:00-05:00,2018-08-12 16:00:00-05:00,2018-08-12 17:00:00-05:00,2018-08-12 18:00:00-05:00,2018-08-12 19:00:00-05:00,2018-08-12 20:00:00-05:00,2018-08-12 21:00:00-05:00,2018-08-12 22:00:00-05:00,2018-08-12 23:00:00-05:00
1,15.7014,14.4658,13.6155,13.1381,13.1089,13.8865,15.3513,16.3542,17.1494,16.9305,16.5762,16.9139,17.5557,18.9136,20.4511,22.1104,23.644,25.2563,26.2254,26.2471,25.5498,24.5912,22.2813,19.6175
2,7.1192,6.6493,6.3183,6.1328,6.1149,6.4104,7.0012,7.427,7.771,7.8272,7.8023,8.0074,8.3196,8.8665,9.4866,10.125,10.6799,11.2188,11.4781,11.3906,11.0624,10.6299,9.6931,8.6462
3,22.0957,19.861,18.3643,17.5224,17.5068,18.9151,21.3796,22.9495,24.1597,22.9973,21.7523,21.9421,22.7292,25.0181,27.605,30.5664,33.4965,36.8207,39.1744,39.7402,38.8249,37.4644,33.606,28.9735
4,17.9732,16.4937,15.4809,14.9121,14.882,15.8134,17.5432,18.712,19.6342,19.2713,18.7676,19.1167,19.8362,21.4402,23.2558,25.2375,27.0945,29.0788,30.3182,30.4135,29.6239,28.5251,25.8011,22.6357
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.4297,7.9038,7.5304,7.3213,7.2985,7.629,8.3037,8.7982,9.1999,9.319,9.3355,9.5959,9.9727,10.597,11.3052,12.0225,12.632,13.2052,13.4513,13.3147,12.922,12.4106,11.3388,10.1536
7,30.767,27.7611,25.7412,24.6052,24.578,26.472,29.8175,31.9697,33.6354,32.1992,30.625,30.9501,32.0709,35.1774,38.6892,42.679,46.5942,50.9977,54.0638,54.7374,53.4487,51.5568,46.314,40.0522
8,11.6008,10.7975,10.2356,9.9205,9.8932,10.3984,11.3916,12.0975,12.6649,12.6919,12.595,12.9076,13.4076,14.3273,15.3697,16.4572,17.4197,18.3777,18.8749,18.7728,18.2429,17.5372,15.9649,14.1922
9,2.1196,1.878,1.718,1.6279,1.6278,1.7801,2.0386,2.198,2.319,2.1607,2.0004,2.0029,2.072,2.3123,2.5837,2.9021,3.2255,3.6023,3.8823,3.966,3.8818,3.7506,3.3472,2.8543
10,10.3971,9.1147,8.2709,7.7955,7.8001,8.6088,9.9561,10.7687,11.3805,10.436,9.5029,9.4593,9.7756,11.0286,12.4428,14.1278,15.8657,17.9211,19.4893,20.0045,19.6045,18.959,16.8606,14.2695
11,20.479,19.3821,18.5844,18.1382,18.0735,18.7621,20.2544,21.3977,22.3403,22.9411,23.2534,23.9901,24.9478,26.3267,27.8928,29.407,30.6064,31.6141,31.851,31.3241,30.346,29.1078,26.7256,24.1685
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.4359,1.3307,1.2576,1.2166,1.2135,1.2797,1.4074,1.4966,1.5679,1.5613,1.5405,1.5759,1.6364,1.7547,1.8886,2.0306,2.1588,2.2897,2.3628,2.3564,2.2916,2.2041,2.0024,1.7726
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3.3836,3.0353,2.8024,2.6714,2.6693,2.8888,3.2712,3.5136,3.7,3.5115,3.3116,3.3371,3.4562,3.8114,4.2128,4.674,5.1322,5.6543,6.027,6.1203,5.9809,5.7724,5.1741,4.4538
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,7.3361,6.8573,6.5196,6.3304,6.3116,6.6126,7.2169,7.654,8.0074,8.0748,8.0575,8.272,8.5949,9.1543,9.7886,10.4394,11.0026,11.5463,11.8024,11.7063,11.3674,10.9218,9.9633,8.8943
